Zipcodes,Total Population,Population Density (Per Sq. Mile),Area (Land),Male,Female,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households:,Family Households:,Married-Couple Family,Other Family:,"Male Householder, No Wife Present","Female Householder, No Husband Present",Nonfamily Households:,Male Householder,Female Householder,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Owner Occupied,Renter Occupied,Population for Whom Poverty Status Is Determined:,Under 1.00 (Doing Poorly),1.00 to 1.99 (Struggling),Under 2.00 (Poor or Struggling),2.00 and Over (Doing Ok),Poor/Struggling Rate,White_rate,Black_rate,Native_rate,Asian_rate,pacific_islander_rate,other_rate,single_parent_rate
60605,29060,23333.5,1.25,13132,15928,1047,794,509,61,4192,9027,4166,3430,2911,1763,992,168,18370,4452,85,4377,0,528,1248,14942,5913,5097,816,142,674,9029,3735,5294,111438,16684,14942,7306,7636,26014,2322,1498,3820,22194,0.146844007,0.632140399,0.153200275,0.002924983,0.150619408,0,0.018169305,0.054611163
60607,29293,12798.4,2.29,14730,14563,1317,1035,547,242,6387,9142,4584,2454,2041,893,487,164,17141,4201,61,6345,16,345,1184,12755,4640,3794,846,255,591,8115,3749,4366,102726,14527,12755,5332,7423,26439,5417,2135,7552,18887,0.28563864,0.585156863,0.143413102,0.002082409,0.21660465,0.000546206,0.011777558,0.066326931
60608,80059,12703.3,6.3,44460,35599,4318,3913,4460,2121,10343,18495,11277,9383,7810,4767,2137,1035,36060,13612,472,9987,0,18075,1853,25921,15011,8984,6027,1582,4445,10910,5741,5169,50133,28663,25921,9679,16242,70382,13468,17421,30889,39493,0.438876417,0.450417817,0.170024607,0.005895652,0.1247455,0,0.225770994,0.232514178
60609,60939,7871.8,7.74,30157,30782,4648,4390,4300,2435,6738,9992,7960,7396,5707,4787,2103,483,26724,15282,423,3799,29,13169,1513,20890,13120,6737,6383,1855,4528,7770,4039,3731,37353,24720,20890,7838,13052,60578,16197,17206,33403,27175,0.5514048,0.438536898,0.250775366,0.006941368,0.06234103,0.000475886,0.216101347,0.305552896
60610,40548,35035.5,1.16,19019,21529,1670,781,666,599,3833,14435,4430,3609,3988,4181,1782,574,29332,6041,50,3565,8,318,1234,23708,7093,5260,1833,553,1280,16615,7587,9028,92130,27727,23708,9321,14387,38944,3899,4024,7923,31021,0.203445974,0.723389563,0.14898392,0.001233106,0.087920489,0.000197297,0.007842557,0.077315674
60612,33735,8998.7,3.75,15954,17781,2255,1945,2211,1426,3878,6852,4932,3487,3424,1995,1134,196,9902,20122,79,1490,54,1083,1005,13236,6244,2719,3525,537,2988,6992,3477,3515,43545,15563,13236,3674,9562,32223,9908,6238,16146,16077,0.501070664,0.293523047,0.596472506,0.002341782,0.044167778,0.001600711,0.032103157,0.26631913
60613,50761,23343.3,2.17,25653,25108,2726,1328,1245,586,5591,15959,8581,5260,4581,2657,1307,940,41492,3052,35,3542,21,757,1862,27072,8758,7352,1406,682,724,18314,8861,9453,84318,29884,27072,10863,16209,50462,5157,4328,9485,40977,0.18796322,0.817399184,0.060124899,0.000689506,0.069777979,0.000413703,0.014913024,0.051935579
60614,71954,23063.9,3.12,36681,35273,3738,2637,2512,1228,10277,23562,8868,6715,5688,4252,1787,690,60415,3083,30,5247,16,980,2183,33602,12397,10812,1585,561,1024,21205,10624,10581,117138,36375,33602,15088,18514,68396,5614,3101,8715,59681,0.127419732,0.839633655,0.042846819,0.000416933,0.072921589,0.000222364,0.013619813,0.047169811
60615,40590,18347.9,2.21,18126,22464,2054,1762,1413,990,5676,8191,5238,4413,4442,3739,1940,732,12617,22248,113,3491,0,383,1738,21444,7432,4326,3106,730,2376,14012,5784,8228,45077,24195,21444,6534,14910,40053,9771,5983,15754,24299,0.393328839,0.310840108,0.548115299,0.002783937,0.086006406,0,0.009435822,0.14484238
60616,54197,13556.3,4,25809,28388,2095,1934,2663,1137,5391,11619,6981,7365,6376,4887,2282,1467,17058,12816,381,21414,0,1477,1051,24569,11069,7443,3626,970,2656,13500,5574,7926,52162,26362,24569,9219,15350,51476,11916,9362,21278,30198,0.413357681,0.314740668,0.236470653,0.007029909,0.395114121,0,0.027252431,0.147584354
60617,83553,6031.4,13.85,37907,45646,5372,5690,6600,4501,8645,10295,9603,10476,9793,6374,4544,1660,30797,47366,133,220,7,3743,1287,28792,18823,8417,10406,1988,8418,9969,4538,5431,41125,34492,28792,15849,12943,83266,19697,21363,41060,42206,0.49311844,0.36859239,0.566897658,0.001591804,0.002633059,8.37792E-05,0.044797913,0.361419839
60618,94907,18991.8,5,47736,47171,6642,6266,5414,2340,6948,20978,17100,11848,8672,5123,2539,1037,72390,2744,152,5866,117,9650,3988,35358,21074,15738,5336,1622,3714,14284,7460,6824,78704,39969,35358,16848,18510,94545,9748,17718,27466,67079,0.290507166,0.762746689,0.028912514,0.001601568,0.061807875,0.001232786,0.101678485,0.150913513
